Date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS
1/2/2020,,,,
1/3/2020,,,,
1/6/2020,,,,
1/7/2020,,,,
1/8/2020,,,,
1/9/2020,,,,
1/10/2020,,,,
1/13/2020,,,,
1/14/2020,,,,
1/15/2020,,,,
1/16/2020,,,,
1/17/2020,,,,
1/20/2020,,,,
1/21/2020,,,,
1/22/2020,,,,
1/23/2020,,,,
1/24/2020,,,,
1/27/2020,,,,
1/28/2020,,,,
1/29/2020,,,,
1/30/2020,,,,
1/31/2020,,,,
2/3/2020,,,,
2/4/2020,,,,
2/5/2020,,,,
2/6/2020,,,,
2/7/2020,,,,
2/10/2020,,,,
2/11/2020,,,,
2/12/2020,0.220233196,0.192708397,0.155145052,0.219389174
2/13/2020,0.214029894,0.194121405,0.154366055,0.221708277
2/14/2020,0.216056733,0.185727896,0.157319749,0.220088822
2/17/2020,0.206110776,0.187495113,0.144776016,0.217475741
2/18/2020,0.201431673,0.188071191,0.136341019,0.212442732
2/19/2020,0.213800498,0.177831119,0.141136037,0.206627239
2/20/2020,0.204867351,0.177720133,0.13802301,0.205914146
2/24/2020,0.218842757,0.185701295,0.135040673,0.203390455
2/25/2020,0.22475807,0.19281446,0.135446033,0.154078593
2/26/2020,0.227961035,0.195878754,0.134687721,0.165370429
2/27/2020,0.227781542,0.194524113,0.134794909,0.163416592
2/28/2020,0.254159955,0.240402396,0.141683846,0.242108381
3/2/2020,0.254120587,0.240195805,0.141656195,0.245528586
3/3/2020,0.264031003,0.240548734,0.134125482,0.246917299
3/4/2020,0.263783482,0.251084199,0.153346261,0.250569088
3/5/2020,0.267464153,0.253428779,0.153983243,0.249107798
3/6/2020,0.277743177,0.253321908,0.156738183,0.24916454
3/9/2020,0.457599318,0.323464245,0.168390642,0.2823543
3/11/2020,0.475945158,0.323831644,0.157592126,0.290097925
3/12/2020,0.519455144,0.423954443,0.286812907,0.369214637
3/13/2020,0.537399514,0.430773524,0.324332483,0.370619455
3/16/2020,0.578314256,0.461288512,0.372457522,0.452939073
3/17/2020,0.577515121,0.459614257,0.375451598,0.46721105
3/18/2020,0.583171814,0.456493013,0.470817241,0.473596914
3/19/2020,0.582026033,0.455609916,0.479006174,0.470002485
3/20/2020,0.671121652,0.538913078,0.471787323,0.527021472
3/23/2020,0.765809266,0.573905149,0.590972675,0.595937969
3/24/2020,0.801537047,0.578588233,0.589503065,0.697864438
3/25/2020,0.913169636,0.584747964,0.692525436,0.705854065
3/26/2020,0.911040934,0.591054045,0.715373921,0.731890015
3/27/2020,0.909091127,0.593992309,0.71478567,0.733051153
3/30/2020,0.910517423,0.594905144,0.745306819,0.737143344
3/31/2020,0.945364454,0.602582689,0.758550986,0.74265737
4/1/2020,0.947193446,0.62584213,0.761790492,0.758948544
4/3/2020,0.947416392,0.628233465,0.76145718,0.758759786
4/7/2020,1.00820512,0.669771308,0.822658019,0.808987812
4/8/2020,1.008193365,0.675971235,0.82266283,0.809015584
4/9/2020,1.009963757,0.686005918,0.835466231,0.81001005
4/13/2020,1.010786041,0.681985085,0.838268772,0.809860781
4/15/2020,1.013488284,0.68184077,0.841324421,0.809507304
4/16/2020,1.015497706,0.681945685,0.845212111,0.811056494
4/17/2020,1.020369879,0.688189264,0.854524544,0.795786221
4/20/2020,1.021586759,0.68872749,0.864401697,0.804165859
4/21/2020,1.019488254,0.696722922,0.865383442,0.807032526
4/22/2020,1.05980247,0.695233826,0.864415664,0.806590524
4/23/2020,1.05778647,0.71690842,0.870037899,0.826546477
4/24/2020,1.056959376,0.721629422,0.870378092,0.829146279
4/27/2020,0.975970694,0.69515694,0.868702828,0.819390753
4/28/2020,0.973059724,0.695994838,0.868310715,0.816183002
4/29/2020,0.936415788,0.635192528,0.846922499,0.780911006
4/30/2020,0.933801795,0.651641122,0.838633529,0.795241902
5/4/2020,0.895702068,0.636146367,0.849053982,0.761574285
5/5/2020,0.893999702,0.630924624,0.847041463,0.744170737
5/6/2020,0.881067888,0.633399068,0.794676009,0.73438504
5/7/2020,0.858573089,0.633751973,0.795982988,0.733663794
5/8/2020,0.820385567,0.574747173,0.794689722,0.709005323
5/11/2020,0.676074476,0.530789223,0.683942489,0.626936525
5/12/2020,0.703000053,0.528969121,0.686093614,0.542272061
5/13/2020,0.600500245,0.524637684,0.615459812,0.538330502
5/14/2020,0.615098182,0.527466614,0.608725996,0.537979719
5/15/2020,0.614458484,0.525457546,0.60884216,0.536957843
5/18/2020,0.604330463,0.524450753,0.583601051,0.52507329
5/19/2020,0.578035681,0.519732353,0.574076303,0.521409096
5/20/2020,0.566860466,0.477356865,0.570572162,0.485326289
5/21/2020,0.565795336,0.465957245,0.567320919,0.475583222
5/22/2020,0.476052603,0.425154526,0.49605836,0.414095234
5/26/2020,0.474351833,0.424214787,0.498490629,0.416067612
5/27/2020,0.472439752,0.422184223,0.51444895,0.427073821
5/28/2020,0.4640238,0.421727219,0.521836112,0.427051018
5/29/2020,0.449299179,0.422628434,0.509179854,0.428815533
6/1/2020,0.456764786,0.42992021,0.516741427,0.421718421
6/2/2020,0.44261576,0.407968441,0.509633123,0.422221158
6/3/2020,0.44206938,0.407915903,0.502313831,0.411419763
6/4/2020,0.4430346,0.382750721,0.500318347,0.398774743
6/5/2020,0.354551647,0.38891565,0.506889535,0.398786327
6/8/2020,0.356548106,0.353510835,0.504830874,0.371331683
6/9/2020,0.35364901,0.337195309,0.509431159,0.357595229
6/10/2020,0.357782824,0.338999695,0.508482706,0.357403347
6/11/2020,0.365249645,0.345417631,0.513987876,0.361105321
6/12/2020,0.37515776,0.342967346,0.496495936,0.359686728
6/15/2020,0.370621617,0.304058726,0.500355956,0.320462098
6/16/2020,0.363176297,0.275992238,0.454536705,0.271913032
6/17/2020,0.361316212,0.275998593,0.454188518,0.27190205
6/18/2020,0.366246731,0.27196472,0.456357164,0.271127092
6/19/2020,0.393824176,0.2707234,0.450849353,0.274156531
6/22/2020,0.384794521,0.272518104,0.451460155,0.272356777
6/23/2020,0.388122577,0.266228644,0.449078872,0.277991245
6/24/2020,0.331956048,0.26576233,0.447025153,0.279507881
6/25/2020,0.330154848,0.269051933,0.441698066,0.28496819
6/26/2020,0.300944313,0.292323214,0.429120328,0.297656857
6/29/2020,0.303437357,0.293283301,0.429165118,0.305357011
6/30/2020,0.30255896,0.286561118,0.384254689,0.302774408
7/1/2020,0.293119284,0.286632697,0.382377824,0.303821691
7/2/2020,0.293003436,0.298042389,0.376557626,0.315684531
7/3/2020,0.293989921,0.298249097,0.381829436,0.315841403
7/6/2020,0.301522006,0.305420632,0.373465861,0.306970224
7/7/2020,0.307010212,0.277076985,0.373434691,0.316462984
7/8/2020,0.313055711,0.277006287,0.342439015,0.314816286
7/9/2020,0.31209736,0.278321071,0.323514285,0.315194969
7/10/2020,0.315910953,0.272486438,0.330636854,0.312722422
7/13/2020,0.310543887,0.255056048,0.325548677,0.314945899
7/14/2020,0.314587822,0.264911865,0.33061533,0.320224478
7/15/2020,0.342039673,0.275471014,0.326163445,0.356103564
7/16/2020,0.338008709,0.269506312,0.320522448,0.435296686
7/17/2020,0.349503701,0.265786652,0.322252315,0.436141341
7/20/2020,0.346988489,0.264450391,0.327589629,0.440073607
7/21/2020,0.341267806,0.264853808,0.31304621,0.43870233
7/22/2020,0.339515452,0.265765083,0.316265023,0.445721315
7/23/2020,0.330853021,0.260182957,0.304989177,0.443174173
7/24/2020,0.337503274,0.257260497,0.30674119,0.436972469
7/27/2020,0.337384009,0.263249797,0.308935268,0.437148275
7/28/2020,0.336566611,0.290765962,0.287895192,0.436534919
7/29/2020,0.362961456,0.29574456,0.293070929,0.439812831
7/30/2020,0.35986309,0.294764317,0.273423895,0.439677087
7/31/2020,0.332618494,0.294886148,0.275837609,0.43518375
8/3/2020,0.345079259,0.296438954,0.289270553,0.437418251
8/4/2020,0.385559971,0.296878953,0.308994632,0.438360243
8/5/2020,0.389320214,0.296891235,0.31033795,0.437172292
8/6/2020,0.387580579,0.297086098,0.312358391,0.43148509
8/7/2020,0.387131279,0.26565397,0.302505631,0.407948973
8/10/2020,0.387880201,0.26481462,0.298020062,0.398531006
8/11/2020,0.38405375,0.262623255,0.300296196,0.399919139
8/12/2020,0.383536496,0.265259075,0.295791046,0.397765384
8/13/2020,0.383236945,0.251733702,0.29558099,0.392557094
8/14/2020,0.38327587,0.24660168,0.300365734,0.392833001
8/17/2020,0.375512977,0.23261976,0.288453114,0.392591267
8/18/2020,0.371701418,0.233431136,0.297206536,0.381474509
8/19/2020,0.367286861,0.22403571,0.298405528,0.372670653
8/20/2020,0.371686047,0.22311104,0.295665636,0.37408918
8/21/2020,0.365815339,0.222137398,0.301658165,0.375648822
8/24/2020,0.357324023,0.222100768,0.305505027,0.374311667
8/25/2020,0.356595328,0.211996649,0.298870881,0.370845714
8/26/2020,0.340114339,0.196411471,0.298224054,0.336001738
8/27/2020,0.343589556,0.196434511,0.298294594,0.210590436
8/28/2020,0.330043944,0.191411119,0.282783446,0.212476996
8/31/2020,0.335210927,0.192589232,0.267608886,0.189578202
9/1/2020,0.327505826,0.192065714,0.268990044,0.194565524
9/2/2020,0.328814725,0.187416896,0.267732674,0.188210195
9/3/2020,0.321515732,0.189070219,0.267682885,0.188374067
9/4/2020,0.300515374,0.188482137,0.267769929,0.190145661
9/7/2020,0.300229761,0.183454759,0.246437505,0.172711035
9/8/2020,0.300833031,0.130529204,0.245870234,0.172887054
9/9/2020,0.28924413,0.12556051,0.24190796,0.174510287
9/10/2020,0.348728242,0.125559873,0.23898734,0.177588621
9/11/2020,0.341811599,0.135430105,0.235511078,0.177966753
9/14/2020,0.329723476,0.186697252,0.224621087,0.202293417
9/15/2020,0.269412647,0.186296168,0.198027483,0.201019616
9/16/2020,0.266219282,0.186311351,0.20166536,0.206820516
9/17/2020,0.269334749,0.18738711,0.201637166,0.193779946
9/18/2020,0.269160435,0.187041206,0.215056696,0.184807477
9/21/2020,0.274975027,0.185959527,0.215479242,0.185560028
9/22/2020,0.281905786,0.194810163,0.213859679,0.185411123
9/23/2020,0.282479962,0.20510988,0.216749522,0.187214472
9/24/2020,0.290791728,0.267601367,0.221251801,0.230567097
9/25/2020,0.291421557,0.287098203,0.214102712,0.2524474
9/28/2020,0.289515133,0.287016209,0.215731224,0.252510221
9/29/2020,0.289511534,0.29429096,0.206643888,0.251313993
9/30/2020,0.28986502,0.293131982,0.209383321,0.249636942
10/1/2020,0.285438943,0.293896151,0.220713431,0.249914647
10/5/2020,0.285074934,0.349926465,0.210007703,0.261115035
10/6/2020,0.284844345,0.349528489,0.207611436,0.260880531
10/7/2020,0.289072259,0.348574187,0.212059659,0.258339831
10/8/2020,0.281871536,0.356335039,0.222868261,0.264102952
